product_id,product_title,retail_price,Disc__perc,disc_price,rating,summary,review,location,date,upvotes,downvotes
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Mind-blowing purchase,Very good 💯,Siwan District,2 months ago,31,6
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Just wow!,Good,Cachar District,3 months ago,51,13
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",4,Really Nice,Best value budget phone...!,Ambarnath,3 months ago,44,11
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",3,Fair,"Phone is doing good in day to day task, but it has low ringing volume and low brightness",Ghaziabad,4 months ago,8,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",3,Decent product,Supar,Bilhaur,2 months ago,34,8
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",1,Very poor,One of worst product i have ever buy,Prayagraj,4 months ago,121,44
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",2,Could be way better,Avarage,Malda Division,2 months ago,18,3
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",4,Pretty good,Thanks to Flipkart Velue of tha money Mobile super condition,Nagamalaipudukottai,1 month ago,36,10
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",1,Terrible product,Mobile is over heating,Hardoi,3 months ago,23,5
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Terrific,Good quality of camera,Sagar District,2 months ago,16,3
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Terrific,Good product,Chennai,1 month ago,9,1
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Must buy!,Best quality of products,Unnao District,3 months ago,26,7
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",3,Just okay,Very basic smart phone. Not user friendly,Bagepalli,3 months ago,13,2
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Fabulous!,Good,Jamkhandi,4 months ago,50,18
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",4,Good quality product,very good for low price,Basti Division,21 days ago,23,6
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",1,Utterly Disappointed,"battery drain problem i will never expect this,😥😥😥",Tiruppur,2 months ago,6,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Must buy!,"Smooth display, good performance. Camera is not much greater but it is ok..",Suryapet,3 months ago,6,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",1,Very poor,Overall product is not good enough..,Banarhat Tea Garden,4 months ago,6,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",1,Useless product,Hang from first day,Baharagora,4 months ago,33,11
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",1,Hated it!,Hanging problem,Boudh District,4 months ago,12,2
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",1,Absolute rubbish!,I want to purchase mobile but sound quality not satisfied,Muktainagar,4 months ago,12,2
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Wonderful,Amazing at this price point 😍😍,Supaul District,2 months ago,28,9
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Wonderful,Low price and high performance processor,Pattamundai,2 months ago,19,5
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",1,Useless product,"1. Much difficult to unlock,2. Taking too much time to respond,3. Bound over 18 months with Airtel sim,4. Touch should be more better,5. Display is average.",Lucknow,1 month ago,5,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Perfect product!,Nice poco,Bangalore,1 month ago,5,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Perfect product!,"I bought this phone for my mom and it was a superb deal. The main attraction i found was the battery.even after continuously using for long time, below 10% battery was draining. Camera was not good and we cant excpect and good camera in this price segment. Overall happy with the product.",Thiruvananthapuram,2 months ago,8,1
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",3,Just okay,Average product 😏,South Twenty Four Parganas District,3 months ago,43,20
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Terrific,Low price best phone,Pampalner,2 months ago,10,2
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",1,Useless product,"only look is better, otherwise camera qlty is very bad, slow processer get irritated.no option to return and buy better mobile. very bad experience.",Bangalore,4 months ago,9,2
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Best in the market!,Very nice,Azamgarh,1 month ago,3,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",4,Good choice,So good performance any time...,Ratnagiri,1 month ago,3,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",3,Fair,Value for money,Guwahati,1 month ago,4,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",4,Very Good,Good 👍,Jorhat District,1 month ago,4,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Brilliant,Very Reasonable price and Quantity...🤟,Metpally,2 months ago,4,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",3,Nice,If yoru range is low then go for poco c51,Asansol,2 months ago,4,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",1,Waste of money!,Don't buy it it's a worst product. I know everyone says the price is low . But my opinion is why launching this price range phone you can do nothing with this except calling purpose. All time hanging . On this price range if you do not increase your pricing then go for purana bala keypad mobile because both are the same use only calling purpose.,Tarakeswar,2 months ago,12,4
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Classy product,Amazing product.... Thank you Flipkart,Vellore,3 months ago,6,1
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Perfect product!,Nice,Nagpur,3 months ago,22,12
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",4,Nice product,Phone is really awesome... I have used this phone for last 10 days and the performance is really great feels like  it is 20k + range phone processor is very good.Camera is okBattery is very goodOverall 9/10 rating Great phone Go for it❤️❤️❤️❤️❤️,Manikpur,2 months ago,18,9
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",3,Fair,Normal,Palitana,2 months ago,9,3
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",1,Absolute rubbish!,The worst phone ever. Yesterday evening I bought the phone and it is not working. I have tried to call the customer call to take it back but they are not ready to discuss the return policy. Please never think to purchase such the worst phone ever.,Gautam Buddha Nagar,1 month ago,56,48
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Must buy!,Good,Paschim Medinipur District,2 months ago,3,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Terrific,Best,Chakmano,2 months ago,3,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Wonderful,Everything is average,Purba Champaran District,4 months ago,3,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",4,Very Good,Good 👍,West Godavari District,2 months ago,5,1
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",4,Good quality product,Good product for chip price everything is good. Ossam mobail. I suggested every person perchase this product. I am very happy tq flip card team,Dongargarh,2 months ago,8,3
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",4,Good quality product,Nice,Puruliya District,2 months ago,9,3
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",3,Decent product,Day 1 experience average,Purnia District,4 months ago,8,3
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",1,Useless product,"Pathetic battery . 1 day backup in normal uses. Redmi batteries  lasts for 24 hour in normal uses after 2 years .User interface is very unfriendly. No ease of access like redmi.U have to struggle hard for simple settings.Eventually I lost my money for such worst quality product. Worst software , user interface and hardware.",Ranchi,3 months ago,9,4
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",4,Just okay,Good productsPoco mobile phone,New Delhi,3 months ago,18,12
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",1,Waste of money!,Don't buy please 🙏🏻 very low phoneChip,Bangalore Urban,1 month ago,6,2
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",1,Waste of money!,"very bad product and Flipkart service is worst, in fact Flipkart refused to take it back and ask to go service centre on the delivery day of the product, the camera is defective, it's notable yo focus and phone is heating too much, UI/UX is also very bad",New Delhi,3 months ago,4,1
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",3,Nice,Bad no more features in this phone I don't like this phone I wasted my money😩,Neyyattinkara,3 months ago,4,1
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",1,Absolute rubbish!,Touch screen not working,Hosur,7 days ago,5,2
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Must buy!,Budget phone,Kaimganj,4 months ago,5,2
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Great product,This mobile was very nice and tha camera quality also very very nice and battery 3 day stand after 2 months I am rating this mobile phone pakka mobile ✨🥂⚡,Chennai,3 months ago,9,5
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",4,Pretty good,Very good 👍 👍,Baksa District,17 days ago,2,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",4,Wonderful,Nice product,Rasulabad Kanpur Dehat District,24 days ago,2,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Brilliant,Nice,Ilkal,1 month ago,2,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Perfect product!,Nice,Maldah District,1 month ago,2,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",4,Very Good,Mobile is excellent in this price of range but some lagging problem facing issue,Georai,1 month ago,2,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Must buy!,Nice,Dharmapuri,1 month ago,2,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",1,Very poor,Do not by this product...lost of having problems,Vadodara,1 month ago,2,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Just wow!,Worth it💕,Bangalore,1 month ago,2,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Mind-blowing purchase,Budget Mobile 📱,Kurnool,1 month ago,2,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",3,Does the job,Good service but camera is low performance,Nagaon,1 month ago,2,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Excellent,Product is goodBut voice is lowFood performance,Alwar District,1 month ago,2,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Terrific,Nice phone.,Paradip,1 month ago,2,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Classy product,Thanks poco,Kattappana,2 months ago,2,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Awesome,Everything is good 0.   Nice phone,Bidar,2 months ago,2,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Wonderful,Nice ☺️,Bilgram,2 months ago,2,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Excellent,"Valuable product, Very nice",Kanniyakumari District,2 months ago,2,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Terrific purchase,Excellent budget mobile,Chennai,3 months ago,2,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Great product,Nice,Dhing,3 months ago,2,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",3,Good,God,Kasaragod,3 months ago,2,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",4,Perfect product!,Very nice in this price. Good for old and new personNot for heavy gaming.,Hanspura,3 months ago,2,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",4,Wonderful,Very budget friendly. Nice phone,Howrah,4 months ago,2,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Worth every penny,Lowest price overall very good product I'm happy with Flipkart,Goalpara,4 months ago,2,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Awesome,Value For Money. Performance is Good,Jalgaon Jamod,4 months ago,5,3
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Mind-blowing purchase,This product gift for my mother in law hi is very happy nice mobile poco c51 in this prise thanks flipkart,Mahad Midc,1 month ago,3,1
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Best in the market!,It's very good .I like this product very much,Mayurbhanj District,2 months ago,3,1
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",3,Does the job,normal usage phoneCamera not goodBattery drain issueOverall phone is ok for daily basis usage,Jaipur,2 months ago,3,1
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Simply awesome,"According to money, it's best mobile and awesome performance.I am satisfied with POCO C51. Big display, good picture quality and tough screen performance is very good.",Kanpur,3 months ago,3,1
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",3,Decent product,"Speaker quality not goodCamera and other things just available, little bit slowOk okIt's just like your bar phone with touch.",Noida,3 months ago,3,1
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Wonderful,Good parodec,Ahmedabad,4 months ago,3,1
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",1,Don't waste your money,This is is very cheap performance,Guntakal,2 months ago,4,1
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Perfect product!,Very Very nice 👌,Mumbai,4 months ago,4,2
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Awesome,Very good 👍 product l like it,Mumbai,2 months ago,7,8
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Must buy!,Good,Ambedkar Nagar,4 months ago,3,2
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",1,Horrible,Mobile not working problem,Chandrapur District,1 month ago,1,1
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Simply awesome,"This phone is very good. I like this phone . But the only problem is the camera quality is not so good . Display , battery , video quality and design is good .",Balurghat,1 month ago,2,1
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",1,Fabulous!,Super mobile,Ranipettai,1 month ago,1,1
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",1,Absolute rubbish!,Very bad 👎phone,Banka District,1 month ago,2,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Perfect product!,OK for daliy use,Nellore,1 month ago,2,1
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Terrific purchase,it's good,Basirhat,1 month ago,2,1
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",3,Good,Display dark h,Mairwa,1 month ago,3,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",4,Good choice,Very good camera 📸,Dewas,1 month ago,2,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Best in the market!,Camera good,Jamshedpur,2 months ago,2,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Brilliant,Values for money this product,Noida,2 months ago,2,1
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",1,Did not meet expectations,bad product hang problem na speaker 🔇 Not working properly bad product,Bahadurgarh,3 months ago,2,1
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",4,Good quality product,Nice photo camera..Nice processor..Gift my wife.,Bokaro District,19 days ago,1,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",1,Terrible product,Disgusting. Within 1 month charging point got loose. Do not waste your money on this useless phone. Add some more amount and buy a good phone,Gurugram,19 days ago,1,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Utterly Disappointed,Don't buy this product,Indore,19 days ago,1,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Highly recommended,"Today I received this mobile nice look and budget price mobile, camera good overall performance is good 😊.",Visakhapatnam,19 days ago,1,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",1,Utterly Disappointed,"The 📱 heats up while charging and the adapter too but the main issue will be with its network catching ability or mic, its the worst, even a normal voice call cannot be done properly, 70% voice breaks of the speaker through the phone. Suggest try a device of higher price or different brand.",Puruliya District,19 days ago,1,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Wonderful,Best phone in economically price,Padmapur,21 days ago,2,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",1,Utterly Disappointed,Speaker valume is very law,Delhi,24 days ago,1,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",1,Very poor,Problems started just after 15 days of purchase Automatic switch off Hanging problem Blinking problem Screen disappearsI urge flipkart please don't sell such product I will never purchase any product from flipkart if my problem is not dissolved.,Gorakhpur,24 days ago,1,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",1,Unsatisfactory,It's was only aritel sim card and not used any other network,Latur District,24 days ago,0,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",2,Expected a better product,in a week after buying start to much hanging problem,Etah,24 days ago,0,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",4,Pretty good,Nice,Madaram Adilabad District,24 days ago,1,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",1,Hated it!,Too much issues,Krishnagiri District,24 days ago,1,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",2,Moderate,Very poor,Gonda District,24 days ago,0,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",1,Terrible product,Will anyone buy a mobile to use Airtel SIM only.. Which network to use is the customer's choice.  I am very upset after buying poco c51 airtel exclusive mobile.  Other network users should not buy this phone.  This mobile does not support any network other than Airtel SIM.,Hosur,24 days ago,1,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",1,Worst experience ever!,Software issues jio sim not support this mobile asking only airtel sim,Bengaluru,24 days ago,0,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",1,Don't waste your money,One of the worst mobile,Palamaner,24 days ago,0,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",1,Useless product,Waste product.,Chennai,24 days ago,0,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",1,Terrible product,on charging phone getting heated up like it will explode,Lucknow,24 days ago,1,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",1,Unsatisfactory,Very bad quality Airtel executive program is very bad not running extra app,Noida,24 days ago,1,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",1,Very poor,I have purchase tis product filpkart its seems not charging i will inform filpkart person but worst response in filpkart,Chennai,24 days ago,0,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",1,Worthless,Not good waste of money..,Siliguri,24 days ago,0,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",1,Terrible product,We are facing very big problems after the purchase of 10 days it suddenly hung. And mobile automatically Reset. And all data is erased.I request all please 🙏 don't purchase it. It's a waste of money.,Faizabad District,24 days ago,1,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Brilliant,Like so much,New Delhi,25 days ago,1,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",1,Did not meet expectations,Only Airtel sime will work,Kamareddy,25 days ago,0,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",1,Terrible product,All its ok but Airtel sim put but mobile asked 239 above recharge only worked,Namakkal District,25 days ago,0,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",2,Slightly disappointed,Very worst product,Dharmapuri District,25 days ago,0,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",1,Horrible,Please don't purchase waste your money this product is not correct you are a stand waste money,Mulugu,25 days ago,0,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",1,Horrible,Very very bad,Dharmapuri District,25 days ago,0,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",5,Terrific,Best phone in this price range overall all good product,Rudrapur,25 days ago,0,0
MOBGZCQFCWNDK89P,"POCO C51 (Royal Blue, 64 GB)","9,999",35,"6,499",1,Worst experience ever!,Don't buy this phone. Waste of money. ☹️Worst product. No return policy.. So many problems I faced on this mobile.. U can use only airtel sim. Nothing else. If sometimes ur internet do not working then the mobile is lock. .........  I just regret for buying this product.. 😣😣😣😣😣😣😣,Haldibari,25 days ago,0,0
